id,longitude,latitude
138108,97.4211805,18.5081159
138200,97.8584969,9.3493265
138214,97.6637769,17.6371507
138215,97.6448350,18.2198252
138216,97.6251882,18.8010242
138217,97.6048290,19.3807062
138306,98.0781218,7.8477706
138307,98.0704915,8.4482963
138308,98.0622816,9.0481267
138322,97.8843178,17.3465174
138323,97.8669097,17.9303690
138324,97.8488440,18.5128058
138325,97.8301136,19.0937872
138326,97.8107113,19.6732728
138415,98.2727201,8.1465215
138416,98.2653379,8.7466838
138417,98.2574138,9.3461471
138426,98.1611344,14.7022955
138427,98.1475870,15.2922669
138430,98.1033970,17.0548687
138431,98.0874651,17.6398265
138432,98.0709220,18.2234282
138433,98.0537612,18.8056339
138434,98.0359760,19.3864039
138435,98.0175593,19.9656994
138522,98.4743088,7.8445743
138523,98.4677082,8.4450307
138524,98.4606058,9.0448308
138525,98.4529989,9.6439289
138533,98.3735801,14.4060999
138534,98.3612737,14.9968909
138535,98.3484237,15.5865447
138537,98.3210721,16.7622761
138538,98.3065597,17.3482725
138539,98.2914819,17.9329695
138540,98.2758326,18.5163277
138541,98.2596057,19.0983084
138542,98.2427946,19.6788733
138631,98.6694337,8.1431988
138632,98.6631073,8.7432981
138633,98.6563162,9.3427374
138634,98.6490576,9.9414724
138635,98.6413287,10.5394596
138641,98.5848928,14.1092662
138642,98.5737747,14.7008203
138643,98.5621563,15.2912887
138644,98.5500328,15.8806310
138645,98.5373993,16.4688072
138646,98.5242509,17.0557777
138647,98.5105820,17.6415034
138648,98.4963873,18.2259458
138649,98.4816609,18.8090668
138650,98.4663969,19.3908286
138739,98.8705545,7.8412169
138740,98.8649593,8.4415802
138741,98.8589385,9.0413234
138742,98.8524896,9.6404035
138743,98.8456102,10.2387778
138744,98.8382973,10.8364039
138750,98.7851416,14.4041102
138751,98.7747024,14.9953375
138752,98.7638012,15.5854890
138753,98.7524333,16.1745257
138754,98.7405943,16.7624087
138755,98.7282793,17.3490998
138756,98.7154831,17.9345610
138757,98.7022006,18.5187548
138758,98.6884263,19.1016445
138759,98.6741544,19.6831934
138846,99.0711094,7.5391124
138847,99.0662016,8.1397063
138848,99.0609066,8.7397183
138849,99.0552224,9.3391066
138850,99.0491466,9.9378294
138851,99.0426768,10.5358453
138852,99.0358104,11.1331131
138855,99.0128022,12.9200214
138856,99.0043195,13.5138917
138857,98.9954243,14.1068129
138858,98.9861132,14.6987458
138859,98.9763822,15.2896516
138860,98.9662273,15.8794920
138861,98.9556444,16.4682288
138862,98.9446290,17.0558246
138863,98.9331765,17.6422420
138864,98.9212822,18.2274445
138865,98.9089412,18.8113958
138866,98.8961482,19.3940599
138867,98.8828978,19.9754015
138953,99.2750523,6.6356138
138954,99.2711363,7.2369108
138955,99.2668729,7.8377036
138956,99.2622602,8.4379512
138957,99.2572965,9.0376127
138958,99.2519796,9.6366474
138959,99.2463075,10.2350148
138960,99.2402777,10.8326749
138961,99.2338877,11.4295876
138963,99.2200167,12.6210128
138964,99.2125299,13.2154470
138965,99.2046715,13.8089773
138966,99.1964382,14.4015653
138967,99.1878266,14.9931730
138968,99.1788331,15.5837627
138969,99.1694538,16.1732974
138970,99.1596850,16.7617400
138971,99.1495224,17.3490542
138972,99.1389618,17.9352038
138973,99.1279987,18.5201534
138974,99.1166285,19.1038676
138975,99.1048463,19.6863118
138976,99.0926471,20.2674517
139063,99.4670109,7.5355979
139064,99.4630379,8.1360496
139065,99.4587514,8.7359512
139066,99.4541496,9.3352631
139068,99.4439923,10.5319600
139069,99.4384325,11.1292668
139070,99.4325490,11.7258274
139071,99.4263393,12.3216035
139072,99.4198007,12.9165569
139073,99.4129305,13.5106498
139074,99.4057259,14.1038446
139075,99.3981838,14.6961042
139076,99.3903010,15.2873918
139077,99.3820742,15.8776707
139078,99.3734999,16.4669051
139079,99.3645744,17.0550590
139080,99.3552939,17.6420971
139081,99.3456546,18.2279845
139082,99.3356521,18.8126867
139083,99.3252823,19.3961694
139084,99.3145406,19.9783991
139169,99.6697522,6.6323105
139170,99.6666523,7.2334131
139171,99.6632772,7.8340392
139172,99.6596256,8.4341496
139173,99.6556959,9.0337058
139174,99.6514864,9.6326693
139176,99.6422211,10.8286648
139177,99.6371613,11.4256211
139178,99.6318139,12.0218328
139179,99.6261767,12.6172628
139180,99.6202474,13.2118741
139181,99.6140233,13.8056298
139182,99.6075018,14.3984938
139183,99.6006802,14.9904298
139184,99.5935556,15.5814021
139185,99.5861248,16.1713754
139186,99.5783847,16.7603147
139187,99.5703319,17.3481852
139188,99.5619630,17.9349527
139189,99.5532743,18.5205832
139190,99.5442621,19.1050434
139191,99.5349224,19.6882999
139192,99.5252511,20.2703202
139278,99.8658327,6.9311719
139279,99.8630147,7.5319441
139280,99.8599564,8.1322337
139281,99.8566567,8.7320030
139282,99.8531141,9.3312145
139283,99.8493272,9.9298308
139286,99.8364835,11.7217378
139287,99.8317020,12.3176038
139288,99.8266669,12.9126913
139289,99.8213762,13.5069643
139290,99.8158275,14.1003872
139291,99.8100186,14.6929247
139292,99.8039468,15.2845418
139293,99.7976095,15.8752038
139294,99.7910040,16.4648765
139295,99.7841275,17.0535258
139296,99.7769769,17.6411181
139297,99.7695490,18.2276202
139298,99.7618407,18.8129991
139299,99.7538485,19.3972223
139300,99.7455688,19.9802578
139301,99.7369981,20.5620738
139386,100.0645870,6.6288954
139387,100.0622858,7.2297870
139388,100.0597803,7.8302277
139389,100.0570693,8.4301807
139390,100.0541518,9.0296092
139391,100.0510265,9.6284769
139395,100.0364190,12.0176168
139396,100.0322327,12.6131404
139397,100.0278291,13.2078890
139398,100.0232064,13.8018276
139399,100.0183625,14.3949218
139400,100.0132953,14.9871372
139401,100.0080026,15.5784400
139402,100.0024821,16.1687966
139403,99.9967314,16.7581735
139404,99.9907478,17.3465378
139405,99.9845289,17.9338570
139406,99.9780718,18.5200987
139407,99.9713736,19.1052310
139408,99.9644313,19.6892224
139409,99.9572419,20.2720417
139493,100.2629488,6.3266034
139494,100.2611252,6.9275892
139495,100.2591326,7.5281544
139496,100.2569700,8.1282630
139504,100.2334255,12.9084426
139505,100.2296827,13.5028558
139506,100.2257573,14.0964639
139507,100.2216474,14.6892335
139508,100.2173513,15.2811312
139509,100.2128671,15.8721242
139510,100.2081927,16.4621799
139511,100.2033261,17.0512658
139512,100.1982652,17.6393501
139513,100.1930076,18.2264010
139514,100.1875510,18.8123872
139515,100.1818930,19.3972778
139516,100.1760309,19.9810421
139602,100.4595668,6.6253709
139603,100.4580479,7.2260353
139604,100.4563941,7.8262730
139605,100.4546046,8.4260490
139614,100.4322472,13.7975915
139615,100.4290483,14.3908729
139616,100.4257017,14.9833219
139617,100.4222060,15.5749063
139618,100.4185596,16.1655939
139619,100.4147608,16.7553532
139620,100.4108079,17.3441529
139621,100.4066992,17.9319617
139622,100.4024328,18.5187491
139623,100.3980067,19.1044846
139624,100.3934190,19.6891381
139625,100.3886675,20.2726800
139710,100.6576433,6.3231507
139711,100.6565598,6.9238905
139712,100.6553760,7.5242321
139722,100.6378750,13.4983427
139723,100.6355417,14.0920958
139724,100.6330986,14.6850544
139725,100.6305447,15.2771869
139726,100.6278787,15.8684619
139727,100.6250995,16.4588486
139728,100.6222058,17.0483160
139729,100.6191964,17.6368338
139730,100.6160697,18.2243718
139731,100.6128245,18.8109002
139732,100.6094591,19.3963895
139733,100.6059721,19.9808105
139817,100.8553869,6.0209463
139818,100.8547013,6.6217389
139819,100.8539492,7.2221607
139828,100.8441231,12.6038407
139829,100.8426828,13.1987539
139830,100.8411705,13.7929403
139831,100.8395858,14.3863686
139832,100.8379278,14.9790080
139833,100.8361957,15.5708278
139834,100.8343889,16.1617977
139835,100.8325065,16.7518875
139836,100.8305475,17.3410673
139837,100.8285112,17.9293076
139838,100.8263966,18.5165792
139839,100.8242027,19.1028530
139840,100.8219284,19.6881006
139925,101.0528289,5.7187745
139926,101.0525043,6.3195985
139927,101.0521466,6.9200779
139937,101.0467112,12.8988591
139938,101.0459764,13.4934421
139939,101.0452057,14.0873023
139940,101.0443987,14.6804093
139941,101.0435551,15.2727332
139942,101.0426743,15.8642442
139943,101.0417561,16.4549128
139944,101.0408000,17.0447099
139945,101.0398056,17.6336063
139946,101.0387724,18.2215734
139947,101.0377000,18.8085828
139948,101.0365877,19.3946063
280002,101.2500000,6.0174860
280003,101.2500000,6.6180015
280013,101.2500000,12.5986909
280014,101.2500000,13.1936355
280015,101.2500000,13.7878912
280016,101.2500000,14.3814283
280017,101.2500000,14.9742174
280018,101.2500000,15.5662294
280019,101.2500000,16.1574353
280020,101.2500000,16.7478066
280021,101.2500000,17.3373149
280022,101.2500000,17.9259319
280023,101.2500000,18.5136299
280024,101.2500000,19.1003812
280025,101.2500000,19.6861585
280109,101.4471711,5.7187745
280110,101.4474957,6.3195985
280111,101.4478534,6.9200779
280121,101.4532888,12.8988592
280122,101.4540236,13.4934421
280123,101.4547943,14.0873023
280124,101.4556013,14.6804093
280125,101.4564449,15.2727332
280126,101.4573257,15.8642442
280127,101.4582439,16.4549128
280128,101.4592000,17.0447099
280129,101.4601944,17.6336063
280218,101.6446131,6.0209463
280219,101.6452987,6.6217389
280229,101.6558769,12.6038407
280230,101.6573172,13.1987539
280231,101.6588295,13.7929403
280232,101.6604142,14.3863686
280233,101.6620722,14.9790080
280234,101.6638043,15.5708278
280235,101.6656111,16.1617977
280236,101.6674935,16.7518875
280237,101.6694525,17.3410673
280238,101.6714888,17.9293076
280326,101.8413733,5.7220468
280327,101.8423567,6.3231507
280338,101.8599004,12.9038269
280339,101.8621250,13.4983427
280340,101.8644583,14.0920958
280341,101.8669014,14.6850544
280342,101.8694553,15.2771869
280343,101.8721213,15.8684619
280344,101.8749005,16.4588486
280345,101.8777942,17.0483160
280346,101.8808036,17.6368338
280347,101.8839303,18.2243718
280434,102.0390486,6.0243147
280445,102.0617924,12.6086616
280446,102.0647002,13.2035101
280447,102.0677528,13.7975915
280448,102.0709517,14.3908729
280449,102.0742983,14.9833219
280450,102.0777940,15.5749063
280451,102.0814404,16.1655939
280452,102.0852392,16.7553532
280453,102.0891921,17.3441529
280454,102.0933008,17.9319617
280543,102.2370512,6.3266034
280553,102.2630128,12.3132581
280554,102.2665745,12.9084426
280555,102.2703173,13.5028558
280556,102.2742427,14.0964639
280557,102.2783526,14.6892335
280558,102.2826487,15.2811312
280559,102.2871329,15.8721242
280560,102.2918073,16.4621799
280561,102.2966739,17.0512658
280562,102.3017348,17.6393501
280563,102.3069924,18.2264010
280661,102.4635810,12.0176168
280662,102.4677673,12.6131404
280663,102.4721709,13.2078890
280664,102.4767936,13.8018276
280665,102.4816375,14.3949218
280666,102.4867047,14.9871372
280667,102.4919974,15.5784400
280668,102.4975179,16.1687966
280669,102.5032686,16.7581735
280670,102.5092522,17.3465378
280671,102.5154711,17.9338570
280768,102.6635165,11.7217378
280769,102.6682980,12.3176038
280770,102.6733331,12.9126913
280771,102.6786238,13.5069643
280772,102.6841725,14.1003872
280773,102.6899814,14.6929247
280774,102.6960532,15.2845418
280775,102.7023905,15.8752038
280776,102.7089960,16.4648765
280777,102.7158725,17.0535258
280778,102.7230231,17.6411181
280877,102.8681861,12.0218328
280878,102.8738233,12.6172628
280880,102.8859767,13.8056298
280881,102.8924982,14.3984938
280882,102.8993198,14.9904298
280883,102.9064444,15.5814021
280884,102.9138752,16.1713754
280885,102.9216153,16.7603147
280886,102.9296681,17.3481852
280887,102.9380370,17.9349527
280985,103.0674510,11.7258274
280989,103.0942741,14.1038446
280990,103.1018162,14.6961042
280991,103.1096990,15.2873918
280992,103.1179258,15.8776707
280993,103.1265001,16.4669051
280994,103.1354256,17.0550590
280995,103.1447061,17.6420971
280996,103.1543454,18.2279845
281097,103.3035618,14.4015653
281098,103.3121734,14.9931730
281099,103.3211669,15.5837627
281100,103.3305462,16.1732974
281101,103.3403150,16.7617400
281102,103.3504776,17.3490542
281103,103.3610382,17.9352038
281104,103.3720013,18.5201534
281206,103.5138868,14.6987458
281207,103.5236178,15.2896516
281208,103.5337727,15.8794920
281209,103.5443556,16.4682288
281210,103.5553710,17.0558246
281211,103.5668235,17.6422420
281212,103.5787178,18.2274445
281314,103.7148584,14.4041102
281315,103.7252976,14.9953375
281316,103.7361988,15.5854890
281317,103.7475667,16.1745257
281318,103.7594057,16.7624088
281319,103.7717207,17.3490998
281320,103.7845169,17.9345610
281321,103.7977994,18.5187548
281422,103.9262253,14.7008203
281423,103.9378437,15.2912887
281424,103.9499672,15.8806310
281425,103.9626007,16.4688072
