id,latitude,longitude,territory
3620,41.7881348948813,-82.7880396143882,ON
3626,41.7881348948813,-81.5360215047219,ON
3619,42.591482006563,-83.4140486692213,ON
3625,42.591482006563,-82.162030559555,ON
3631,42.591482006563,-80.9100124498889,ON
3636,42.591482006563,-79.6579943402227,ON
3641,42.591482006563,-78.4059762305564,ON
1430,43.3846065648468,-66.5118041887274,NS
1432,43.3846065648468,-65.2597860790612,NS
3621,43.3846065648468,-82.7880396143882,ON
3627,43.3846065648468,-81.5360215047219,ON
3632,43.3846065648468,-80.2840033950558,ON
3637,43.3846065648468,-79.0319852853896,ON
3642,43.3846065648468,-77.7799671757233,ON
3646,43.3846065648468,-76.5279490660571,ON
1431,44.1674886147605,-65.8857951338943,NS
1435,44.1674886147605,-64.6337770242281,NS
1439,44.1674886147605,-63.3817589145618,NS
3624,44.1674886147605,-82.162030559555,ON
3630,44.1674886147605,-80.9100124498889,ON
3635,44.1674886147605,-79.6579943402227,ON
3640,44.1674886147605,-78.4059762305564,ON
3645,44.1674886147605,-77.1539581208902,ON
3649,44.1674886147605,-75.901940011224,ON
579,44.9401161575755,-67.7638222983936,NB
581,44.9401161575755,-66.5118041887274,NB
583,44.9401161575755,-65.2597860790612,NB
1433,44.9401161575755,-65.2597860790612,NS
1437,44.9401161575755,-64.007767969395,NS
1440,44.9401161575755,-62.7557498597288,NS
1442,44.9401161575755,-61.5037317500625,NS
3622,44.9401161575755,-82.7880396143882,ON
3628,44.9401161575755,-81.5360215047219,ON
3633,44.9401161575755,-80.2840033950558,ON
3638,44.9401161575755,-79.0319852853896,ON
3643,44.9401161575755,-77.7799671757233,ON
3647,44.9401161575755,-76.5279490660571,ON
3650,44.9401161575755,-75.2759309563909,ON
3715,44.9401161575755,-74.0239128467247,ON
3733,44.9401161575755,-75.2759309563909,QC
3743,44.9401161575755,-74.0239128467247,QC
3745,44.9401161575755,-72.7718947370585,QC
3747,44.9401161575755,-71.5198766273923,QC
3749,44.9401161575755,-70.267858517726,QC
3969,44.9401161575755,-74.0239128467247,QC
578,45.7024848594949,-68.3898313532267,NB
580,45.7024848594949,-67.1378132435605,NB
582,45.7024848594949,-65.8857951338943,NB
584,45.7024848594949,-64.6337770242281,NB
589,45.7024848594949,-63.3817589145618,NB
1424,45.7024848594949,-62.1297408048956,NS
1426,45.7024848594949,-60.8777226952294,NS
1427,45.7024848594949,-59.6257045855632,NS
1434,45.7024848594949,-64.6337770242281,NS
1438,45.7024848594949,-63.3817589145618,NS
1441,45.7024848594949,-62.1297408048956,NS
1443,45.7024848594949,-60.8777226952294,NS
3618,45.7024848594949,-83.4140486692213,ON
3623,45.7024848594949,-82.162030559555,ON
3629,45.7024848594949,-80.9100124498889,ON
3634,45.7024848594949,-79.6579943402227,ON
3639,45.7024848594949,-78.4059762305564,ON
3644,45.7024848594949,-77.1539581208902,ON
3648,45.7024848594949,-75.901940011224,ON
3651,45.7024848594949,-74.6499219015578,ON
3717,45.7024848594949,-63.3817589145618,PE
3718,45.7024848594949,-62.1297408048956,PE
3744,45.7024848594949,-73.3979037918916,QC
3746,45.7024848594949,-72.1458856822253,QC
3748,45.7024848594949,-70.8938675725591,QC
3750,45.7024848594949,-69.6418494628929,QC
3802,45.7024848594949,-77.1539581208902,QC
3803,45.7024848594949,-75.901940011224,QC
3804,45.7024848594949,-74.6499219015578,QC
3970,45.7024848594949,-73.3979037918916,QC
585,46.4545977578286,-64.007767969395,NB
586,46.4545977578286,-65.2597860790612,NB
587,46.4545977578286,-66.5118041887274,NB
588,46.4545977578286,-67.7638222983936,NB
692,46.4545977578286,-55.2436412017315,NF
693,46.4545977578286,-53.9916230920652,NF
719,46.4545977578286,-52.739604982399,NF
1425,46.4545977578286,-61.5037317500625,NS
1428,46.4545977578286,-60.2517136403963,NS
1436,46.4545977578286,-64.007767969395,NS
3685,46.4545977578286,-85.2920758337206,ON
3690,46.4545977578286,-84.0400577240544,ON
3695,46.4545977578286,-82.7880396143882,ON
3700,46.4545977578286,-81.5360215047219,ON
3708,46.4545977578286,-80.2840033950558,ON
3709,46.4545977578286,-79.0319852853896,ON
3710,46.4545977578286,-77.7799671757233,ON
3716,46.4545977578286,-64.007767969395,PE
3719,46.4545977578286,-61.5037317500625,PE
3720,46.4545977578286,-62.7557498597288,PE
3723,46.4545977578286,-71.5198766273923,QC
3734,46.4545977578286,-72.7718947370585,QC
3735,46.4545977578286,-71.5198766273923,QC
3736,46.4545977578286,-70.267858517726,QC
3864,46.4545977578286,-74.0239128467247,QC
3865,46.4545977578286,-72.7718947370585,QC
3866,46.4545977578286,-71.5198766273923,QC
3877,46.4545977578286,-79.0319852853896,QC
3878,46.4545977578286,-77.7799671757233,QC
3879,46.4545977578286,-76.5279490660571,QC
3880,46.4545977578286,-75.2759309563909,QC
576,47.1964649657537,-69.6418494628929,NB
577,47.1964649657537,-68.3898313532267,NB
592,47.1964649657537,-65.8857951338943,NB
593,47.1964649657537,-67.1378132435605,NB
595,47.1964649657537,-64.6337770242281,NB
694,47.1964649657537,-57.1216683662308,NF
695,47.1964649657537,-55.8696502565646,NF
696,47.1964649657537,-54.6176321468984,NF
697,47.1964649657537,-53.3656140372321,NF
698,47.1964649657537,-59.6257045855632,NF
699,47.1964649657537,-58.373686475897,NF
720,47.1964649657537,-52.1135959275659,NF
1429,47.1964649657537,-60.8777226952294,NS
3683,47.1964649657537,-85.9180848885537,ON
3686,47.1964649657537,-84.6660667788875,ON
3691,47.1964649657537,-83.4140486692213,ON
3696,47.1964649657537,-82.162030559555,ON
