id,latitude,longitude,territory
11862,41.7881348948813,-82.4757109509328,ON
11863,41.7881348948813,-83.1017127772743,ON
11864,41.7881348948813,-81.8497091245912,ON
11865,42.1910847040249,-81.5367082114205,ON
11866,42.1910847040249,-83.4147136904451,ON
11867,42.1910847040249,-80.2847045587374,ON
11868,42.1910847040249,-82.7887118641035,ON
11869,42.1910847040249,-82.162710037762,ON
11870,42.1910847040249,-80.9107063850789,ON
11871,42.5914820065631,-82.4757109509328,ON
11872,42.5914820065631,-80.5977054719082,ON
11873,42.5914820065631,-79.9717036455666,ON
11874,42.5914820065631,-81.8497091245912,ON
11875,42.5914820065631,-81.2237072982497,ON
11893,42.5914820065631,-79.3457018192251,ON
11876,42.9893235419315,-81.5367082114205,ON
11877,42.9893235419315,-80.2847045587374,ON
11878,42.9893235419315,-82.7887118641035,ON
11879,42.9893235419315,-82.162710037762,ON
11880,42.9893235419315,-80.9107063850789,ON
11881,42.9893235419315,-79.6587027323958,ON
11895,42.9893235419315,-79.0327009060543,ON
4867,43.3846065648468,-65.5736616397111,NS
11882,43.3846065648468,-82.4757109509328,ON
11883,43.3846065648468,-80.5977054719082,ON
11884,43.3846065648468,-81.8497091245912,ON
11885,43.3846065648468,-81.2237072982497,ON
11886,43.3846065648468,-79.9717036455666,ON
11892,43.3846065648468,-79.3457018192251,ON
11896,43.3846065648468,-78.7196999928835,ON
11898,43.3846065648468,-78.093698166542,ON
11900,43.3846065648468,-77.4676963402004,ON
11902,43.3846065648468,-76.8416945138589,ON
11887,43.7773288363461,-81.5367082114205,ON
11888,43.7773288363461,-80.2847045587374,ON
11889,43.7773288363461,-82.162710037762,ON
11890,43.7773288363461,-80.9107063850789,ON
11891,43.7773288363461,-79.6587027323958,ON
11894,43.7773288363461,-79.0327009060543,ON
11897,43.7773288363461,-78.4066990797127,ON
11899,43.7773288363461,-77.7806972533712,ON
11901,43.7773288363461,-77.1546954270296,ON
11903,43.7773288363461,-76.5286936006881,ON
4863,43.7773288363462,-66.5126643792234,NS
4865,43.7773288363462,-65.8866625528819,NS
4871,43.7773288363462,-65.2606607265403,NS
4877,43.7773288363462,-64.6346589001988,NS
4864,44.1674886147605,-66.1996634660526,NS
4868,44.1674886147605,-65.5736616397111,NS
4874,44.1674886147605,-64.9476598133695,NS
4880,44.1674886147605,-64.321657987028,NS
11908,44.1674886147605,-82.4757109509328,ON
11913,44.1674886147605,-81.8497091245912,ON
11917,44.1674886147605,-81.2237072982497,ON
12249,44.1674886147605,-80.5977054719082,ON
12252,44.1674886147605,-79.9717036455666,ON
12255,44.1674886147605,-79.3457018192251,ON
12259,44.1674886147605,-78.7196999928835,ON
12262,44.1674886147605,-78.093698166542,ON
12265,44.1674886147605,-77.4676963402004,ON
12268,44.1674886147605,-76.8416945138589,ON
12271,44.1674886147605,-76.2156926875173,ON
4866,44.5550846466308,-65.8866625528819,NS
4872,44.5550846466308,-65.2606607265403,NS
4878,44.5550846466308,-64.6346589001988,NS
4884,44.5550846466308,-64.0086570738572,NS
4889,44.5550846466308,-63.3826552475157,NS
4893,44.5550846466308,-62.7566534211741,NS
11911,44.5550846466308,-82.162710037762,ON
11915,44.5550846466308,-81.5367082114205,ON
11920,44.5550846466308,-80.9107063850789,ON
12251,44.5550846466308,-80.2847045587374,ON
12254,44.5550846466308,-79.6587027323958,ON
12258,44.5550846466308,-79.0327009060543,ON
12261,44.5550846466308,-78.4066990797127,ON
12264,44.5550846466308,-77.7806972533712,ON
12267,44.5550846466308,-77.1546954270296,ON
12270,44.5550846466308,-76.5286936006881,ON
12273,44.5550846466308,-75.9026917743466,ON
12275,44.5550846466308,-75.276689948005,ON
1953,44.9401161575755,-67.4516671187357,NB
1959,44.9401161575755,-66.8256652923942,NB
1964,44.9401161575755,-66.1996634660526,NB
4869,44.9401161575755,-65.5736616397111,NS
4875,44.9401161575755,-64.9476598133695,NS
4881,44.9401161575755,-64.321657987028,NS
4886,44.9401161575755,-63.6956561606864,NS
4891,44.9401161575755,-63.0696543343449,NS
4895,44.9401161575755,-62.4436525080034,NS
4899,44.9401161575755,-61.8176506816618,NS
11909,44.9401161575755,-82.4757109509328,ON
11914,44.9401161575755,-81.8497091245912,ON
11918,44.9401161575755,-81.2237072982497,ON
12250,44.9401161575755,-80.5977054719082,ON
12253,44.9401161575755,-79.9717036455666,ON
12256,44.9401161575755,-79.3457018192251,ON
12260,44.9401161575755,-78.7196999928835,ON
12263,44.9401161575755,-78.093698166542,ON
12266,44.9401161575755,-77.4676963402004,ON
12269,44.9401161575755,-76.8416945138589,ON
12272,44.9401161575755,-76.2156926875173,ON
12274,44.9401161575755,-75.5896908611758,ON
12276,44.9401161575755,-74.9636890348342,ON
12277,44.9401161575755,-74.3376872084927,ON
12647,44.9401161575755,-74.9636890348342,QC
12648,44.9401161575755,-74.3376872084927,QC
12649,44.9401161575755,-73.7116853821512,QC
12650,44.9401161575755,-73.0856835558096,QC
12651,44.9401161575755,-72.4596817294681,QC
12652,44.9401161575755,-71.8336799031265,QC
12654,44.9401161575755,-71.207678076785,QC
1949,45.3225828431201,-67.7646680319065,NB
1955,45.3225828431201,-67.1386662055649,NB
1961,45.3225828431201,-66.5126643792234,NB
1983,45.3225828431201,-65.8866625528819,NB
1987,45.3225828431201,-65.2606607265403,NB
4870,45.3225828431201,-65.2606607265403,NS
4876,45.3225828431201,-64.6346589001988,NS
4882,45.3225828431201,-64.0086570738572,NS
4887,45.3225828431201,-63.3826552475157,NS
4892,45.3225828431201,-62.7566534211741,NS
4896,45.3225828431201,-62.1306515948326,NS
4900,45.3225828431201,-61.504649768491,NS
4902,45.3225828431201,-60.8786479421495,NS
11906,45.3225828431201,-82.7887118641035,ON
11910,45.3225828431201,-82.162710037762,ON
11919,45.3225828431201,-80.9107063850789,ON
11923,45.3225828431201,-78.4066990797127,ON
11927,45.3225828431201,-77.7806972533712,ON
11930,45.3225828431201,-77.1546954270296,ON
11943,45.3225828431201,-79.6587027323958,ON
11952,45.3225828431201,-81.5367082114205,ON
11953,45.3225828431201,-80.2847045587374,ON
12241,45.3225828431201,-76.5286936006881,ON
12243,45.3225828431201,-75.9026917743466,ON
12245,45.3225828431201,-75.276689948005,ON
12247,45.3225828431201,-74.6506881216635,ON
12257,45.3225828431201,-79.0327009060543,ON
12601,45.3225828431201,-74.0246862953219,QC
12603,45.3225828431201,-73.3986844689804,QC
12606,45.3225828431201,-72.7726826426388,QC
12610,45.3225828431201,-72.1466808162973,QC
12624,45.3225828431201,-70.8946771636142,QC
12655,45.3225828431201,-71.5206789899558,QC
