latitude,longitude
50.87035594,5.83000010
51.25140729,5.83000010
51.63245865,5.83000010
49.53667619,6.16000026
49.91772755,6.16000026
50.29877890,6.16000026
50.67983026,6.16000026
51.06088161,6.16000026
51.44193297,6.16000026
51.82298432,6.16000026
49.34615052,6.49000041
49.72720187,6.49000041
50.10825323,6.49000041
50.48930458,6.49000041
50.87035594,6.49000041
51.25140729,6.49000041
51.63245865,6.49000041
52.01351000,6.49000041
53.53771542,6.49000041
49.15562484,6.82000056
49.53667619,6.82000056
49.91772755,6.82000056
50.29877890,6.82000056
50.67983026,6.82000056
51.06088161,6.82000056
51.44193297,6.82000056
51.82298432,6.82000056
52.20403568,6.82000056
52.58508704,6.82000056
53.72824110,6.82000056
48.96509916,7.15000072
49.34615052,7.15000072
49.72720187,7.15000072
50.10825323,7.15000072
50.48930458,7.15000072
50.87035594,7.15000072
51.25140729,7.15000072
51.63245865,7.15000072
52.01351000,7.15000072
52.39456136,7.15000072
52.77561271,7.15000072
53.15666407,7.15000072
53.53771542,7.15000072
53.91876678,7.15000072
47.63141942,7.48000087
48.01247077,7.48000087
49.15562484,7.48000087
49.53667619,7.48000087
49.91772755,7.48000087
50.29877890,7.48000087
50.67983026,7.48000087
51.06088161,7.48000087
51.44193297,7.48000087
51.82298432,7.48000087
52.20403568,7.48000087
52.58508704,7.48000087
52.96613839,7.48000087
53.34718975,7.48000087
53.72824110,7.48000087
47.44089374,7.81000103
47.82194509,7.81000103
48.20299645,7.81000103
48.58404780,7.81000103
48.96509916,7.81000103
49.34615052,7.81000103
49.72720187,7.81000103
50.10825323,7.81000103
50.48930458,7.81000103
50.87035594,7.81000103
51.25140729,7.81000103
51.63245865,7.81000103
52.01351000,7.81000103
52.39456136,7.81000103
52.77561271,7.81000103
53.15666407,7.81000103
53.53771542,7.81000103
53.91876678,7.81000103
54.29981813,7.81000103
47.63141942,8.14000118
48.01247077,8.14000118
48.39352213,8.14000118
48.77457348,8.14000118
49.15562484,8.14000118
49.53667619,8.14000118
49.91772755,8.14000118
50.29877890,8.14000118
50.67983026,8.14000118
51.06088161,8.14000118
51.44193297,8.14000118
51.82298432,8.14000118
52.20403568,8.14000118
52.58508704,8.14000118
52.96613839,8.14000118
53.34718975,8.14000118
53.72824110,8.14000118
54.87139517,8.14000118
47.44089374,8.47000133
47.82194509,8.47000133
48.20299645,8.47000133
48.58404780,8.47000133
48.96509916,8.47000133
49.34615052,8.47000133
49.72720187,8.47000133
50.10825323,8.47000133
50.48930458,8.47000133
50.87035594,8.47000133
51.25140729,8.47000133
51.63245865,8.47000133
52.01351000,8.47000133
52.39456136,8.47000133
52.77561271,8.47000133
53.15666407,8.47000133
53.53771542,8.47000133
53.91876678,8.47000133
54.29981813,8.47000133
54.68086949,8.47000133
47.63141942,8.80000149
48.01247077,8.80000149
48.39352213,8.80000149
48.77457348,8.80000149
49.15562484,8.80000149
49.53667619,8.80000149
49.91772755,8.80000149
50.29877890,8.80000149
50.67983026,8.80000149
51.06088161,8.80000149
51.44193297,8.80000149
51.82298432,8.80000149
52.20403568,8.80000149
52.58508704,8.80000149
52.96613839,8.80000149
53.34718975,8.80000149
53.72824110,8.80000149
54.10929246,8.80000149
54.49034381,8.80000149
54.87139517,8.80000149
47.44089374,9.13000164
47.82194509,9.13000164
48.20299645,9.13000164
48.58404780,9.13000164
48.96509916,9.13000164
49.34615052,9.13000164
49.72720187,9.13000164
50.10825323,9.13000164
50.48930458,9.13000164
50.87035594,9.13000164
51.25140729,9.13000164
51.63245865,9.13000164
52.01351000,9.13000164
52.39456136,9.13000164
52.77561271,9.13000164
53.15666407,9.13000164
53.53771542,9.13000164
53.91876678,9.13000164
54.29981813,9.13000164
54.68086949,9.13000164
47.63141942,9.46000180
48.01247077,9.46000180
48.39352213,9.46000180
48.77457348,9.46000180
49.15562484,9.46000180
49.53667619,9.46000180
49.91772755,9.46000180
50.29877890,9.46000180
50.67983026,9.46000180
51.06088161,9.46000180
51.44193297,9.46000180
51.82298432,9.46000180
52.20403568,9.46000180
52.58508704,9.46000180
52.96613839,9.46000180
53.34718975,9.46000180
53.72824110,9.46000180
54.10929246,9.46000180
54.49034381,9.46000180
54.87139517,9.46000180
47.44089374,9.79000195
47.82194509,9.79000195
48.20299645,9.79000195
48.58404780,9.79000195
48.96509916,9.79000195
49.34615052,9.79000195
49.72720187,9.79000195
50.10825323,9.79000195
50.48930458,9.79000195
50.87035594,9.79000195
51.25140729,9.79000195
51.63245865,9.79000195
52.01351000,9.79000195
52.39456136,9.79000195
52.77561271,9.79000195
53.15666407,9.79000195
53.53771542,9.79000195
53.91876678,9.79000195
54.29981813,9.79000195
54.68086949,9.79000195
47.63141942,10.12000210
48.01247077,10.12000210
48.39352213,10.12000210
48.77457348,10.12000210
49.15562484,10.12000210
49.53667619,10.12000210
49.91772755,10.12000210
50.29877890,10.12000210
50.67983026,10.12000210
51.06088161,10.12000210
51.44193297,10.12000210
51.82298432,10.12000210
52.20403568,10.12000210
52.58508704,10.12000210
52.96613839,10.12000210
53.34718975,10.12000210
53.72824110,10.12000210
54.10929246,10.12000210
54.49034381,10.12000210
54.87139517,10.12000210
47.44089374,10.45000226
47.82194509,10.45000226
48.20299645,10.45000226
48.58404780,10.45000226
48.96509916,10.45000226
49.34615052,10.45000226
49.72720187,10.45000226
50.10825323,10.45000226
50.48930458,10.45000226
50.87035594,10.45000226
51.25140729,10.45000226
51.63245865,10.45000226
52.01351000,10.45000226
52.39456136,10.45000226
52.77561271,10.45000226
53.15666407,10.45000226
