1477,11.2500000,-5.2645967
1502,13.9909027,-5.2688583
1503,15.3335401,-2.6410479
1504,16.6666508,-0.0000000
1505,18.0488602,2.6479567
1506,19.4478203,5.3029078
1527,16.7255642,-5.2816359
1528,18.0488602,-2.6479567
1529,19.3676846,-0.0000000
1530,20.7536847,2.6583140
1531,22.1516591,5.3326380
1551,18.1359472,-7.9343161
1552,19.4478203,-5.3029078
1553,20.7536847,-2.6583140
1554,22.0600219,-0.0000000
1555,23.4439430,2.6721132
1556,24.8312907,5.3707764
1576,20.8571541,-7.9826496
1577,22.1516591,-5.3326380
1578,23.4439430,-2.6721132
1579,24.7408514,-0.0000000
1580,26.1156886,2.6893450
1581,27.4812121,5.4172594
1600,22.2491139,-10.7218136
1601,23.5459145,-8.0468251
1602,24.8312907,-5.3707764
1603,26.1156886,-2.6893450
1604,27.4074353,-0.0000000
1605,28.7651306,2.7099982
1606,30.0962628,5.4720100
1625,24.8861704,-10.8468173
1626,26.1939594,-8.1266172
1627,27.4812121,-5.4172594
1628,28.7651306,-2.7099982
1629,30.0571256,-0.0000000
1630,31.3886611,2.7340591
1649,26.6587115,-13.4001328
1650,27.4527404,-10.9977789
1651,28.7937131,-8.2217504
1652,30.0962628,-5.4720100
1674,29.7438469,-13.1808548
1676,31.3383885,-8.3319032
