id,latitude,longitude
215,-13.970288,140.928101
216,-15.533900,141.861658
217,-17.085740,140.928101
218,-18.624769,141.861658
219,-20.149992,140.928101
220,-21.660461,141.861658
221,-23.155280,140.928101
222,-24.633606,141.861658
223,-26.094646,140.928101
224,-27.537665,141.861658
225,-28.961981,140.928101
226,-31.752056,142.795214
227,-30.366969,141.861658
228,-33.116729,141.861658
229,-34.460524,142.795214
230,-35.783033,141.861658
231,-37.083901,142.795214
232,-38.362822,141.861658
233,-39.619541,142.795214
234,-10.812125,142.795214
235,-9.219856,143.728771
236,-12.395989,143.728771
237,-13.970288,142.795214
238,-15.533900,143.728771
239,-17.085740,142.795214
240,-18.624769,143.728771
241,-20.149992,142.795214
242,-21.660461,143.728771
243,-23.155280,142.795214
244,-24.633606,143.728771
245,-26.094646,142.795214
246,-27.537665,143.728771
247,-28.961981,142.795214
248,-30.366969,143.728771
249,-28.961981,144.662327
250,-30.366969,145.595884
251,-31.752056,144.662327
252,-33.116729,143.728771
253,-33.116729,145.595884
254,-34.460524,144.662327
255,-35.783033,143.728771
256,-35.783033,145.595884
257,-37.083901,144.662327
258,-38.362822,143.728771
259,-39.619541,144.662327
260,-40.853847,143.728771
261,-42.065579,144.662327
262,-10.812125,144.662327
263,-13.970288,144.662327
264,-15.533900,145.595884
265,-17.085740,144.662327
266,-17.085740,146.529441
267,-18.624769,145.595884
268,-20.149992,144.662327
269,-20.149992,146.529441
270,-21.660461,145.595884
271,-23.155280,144.662327
272,-23.155280,146.529441
273,-24.633606,145.595884
274,-26.094646,144.662327
275,-27.537665,145.595884
276,-38.362822,145.595884
277,-37.083901,146.529441
278,-38.362822,147.462997
279,-39.619541,146.529441
280,-40.853847,145.595884
281,-40.853847,147.462997
282,-42.065579,146.529441
283,-43.254618,145.595884
284,-43.254618,147.462997
285,-44.420886,146.529441
286,-26.094646,146.529441
287,-28.961981,146.529441
288,-28.961981,148.396554
289,-30.366969,147.462997
290,-31.752056,146.529441
291,-31.752056,148.396554
292,-33.116729,147.462997
293,-34.460524,146.529441
294,-34.460524,148.396554
295,-35.783033,147.462997
296,-37.083901,148.396554
297,-39.619541,148.396554
298,-42.065579,148.396554
299,-15.533900,149.330111
300,-17.085740,148.396554
301,-18.624769,147.462997
302,-20.149992,148.396554
303,-21.660461,147.462997
304,-21.660461,149.330111
305,-23.155280,148.396554
306,-24.633606,147.462997
307,-24.633606,149.330111
308,-26.094646,148.396554
309,-27.537665,147.462997
310,-27.537665,149.330111
311,-26.094646,150.263667
312,-28.961981,150.263667
313,-30.366969,149.330111
314,-31.752056,150.263667
315,-33.116729,149.330111
316,-34.460524,150.263667
317,-35.783033,149.330111
318,-37.083901,150.263667
319,-38.362822,149.330111
320,-40.853847,149.330111
321,-17.085740,150.263667
322,-18.624769,151.197224
323,-20.149992,150.263667
324,-21.660461,151.197224
325,-23.155280,150.263667
326,-26.094646,152.130780
327,-24.633606,151.197224
328,-27.537665,151.197224
329,-28.961981,152.130780
330,-30.366969,151.197224
331,-31.752056,152.130780
332,-33.116729,151.197224
333,-34.460524,152.130780
334,-35.783033,151.197224
335,-17.085740,152.130780
336,-23.155280,152.130780
337,-24.633606,153.064337
338,-26.094646,153.997894
339,-27.537665,153.064337
340,-28.961981,153.997894
341,-30.366969,153.064337
342,-33.116729,153.064337
343,-17.085740,155.865007
344,-31.752056,159.599233
